,organisation,records lost,year,story,sector,method,data sensitivity
60,Zhenhua,"2,400,000",2020,Personal details of millions of notable people around the world found in a leaked database compiled by a Chinese tech company with reported links to the country’s military and intelligence networks. Mostly compiled from social media profiles.,misc,oops!,1
61,Cense AI,"2,500,000",2020,Medical records from an artificial intelligence company were left open online.,"tech, health",poor security,4
62,Nintendo,"300,000",2020,Unauthorised access to thousands of Nintendo Switch accounts. Hackers were able to use saved payment details to make purchases.,gaming,hacked,3
63,Pakistani mobile operators,"115,000,000",2020,Personal details stolen from Jazz and other mobile networks were put up for sale for $2.1m in bitcoin.,telecoms,hacked,2
64,US Marshals Service,"387,000",2020,Prisoners had sensitive personal data stolen in December 2019. They were notified five months later.,government,hacked,2
65,db8151dd,"22,000,000",2020,"Aggregated data from multiple websites was discovered in an open database. It included addresses, job titles, phone numbers and social media profiles. The breach was dubbed 'db8151dd'.",web,hacked,2
66,EasyJet,"9,000,000",2020,"The airline became aware of a hack in January, but didn't notify customers until April. Email addresses, travel details and credit card details were stolen. ",transport,hacked,3
67,Microsoft,"250,000,000",2020,Customer support records spanning 14 years were left online without password protection.,web,poor security,1
68,Dutch Government,"6,900,000",2020,"Two hard drives with data from 6.9m registered organ donors went missing. They contained contact details, ID numbers & signatures.",government,lost device,4
69,Virgin Media,"900,000",2020,"A poorly-configured database left names, email addresses and phone numbers exposed for 10 months.",retail,poor security,1
70,Boots Advantage Card,"150,000",2020,"Hackers accessed Advantage Card records, but no financial data was stolen. Payment using points was suspended.",retail,hacked,1
71,Tesco Clubcard,"600,000",2020,"Details of accrued loyalty points were accessed, but financial details weren't exposed.",retail,hacked,1
72,Marriott Hotels,"5,200,000",2020,Guest records were accessed using the logins of two employees between mid-Jan and end of Feb. ,retail,inside job,2
73,Zoom,"500,000",2020,"Email addresses, passwords and personal meeting URLs were sold on the dark web. It led to a host of zoom-bombing pranks. ",app,hacked,1
74,Israeli government,"6,500,000",2020,"Names, addresses, and ID card numbers of every Israeli voter were found on an insecure website belonging to Elector, a political communications app.",government,poor security,2
75,MGM Hotels,"10,600,000",2020,Data stolen during an 2019 hack of an MGM server was published on a hacking forum.,retail,hacked,2
76,Buchbinder Car Rentals,"5,000,000",2020,"Correspondence, invoices and contracts containing personal details were left exposed on an unsecured company server. ",transport,poor security,2
77,Wawa,"30,000,000",2019,"Card-stealing malware was installed, and remained undiscovered for nine months. ",retail,hacked,3
78,Desjardins Group,"4,200,000",2019,"An employee of the Canadian financial firm leaked customer information outside the organisation: names, addresses, birthdates, social insurance numbers & transaction habits.",finance,inside job,2
79,US Customs and Border Protection,"100,000",2019,Photos of faces and license plates taken at an US border crossing were stolen in a cyberattack on a surveillance contractor.,government,hacked,2
80,Quest Diagnostics,"20,000,000",2019,"For an 8 month period, a hacker group stole personal and payment information from a firm providing billing services for the US healthcare sector.",health ,poor security,4
81,Australian National University,"200,000",2019,"A hacker accessed personal information including addresses, bank account details, payroll information and academic records. Staff, students and visitors were affected.",academic,hacked,4
82,Canva,"139,000,000",2019," Names, email addresses and location data belonging to users of an Australian graphic design service were stolen by a hacker.",web,hacked,2
83,Chtrbox,"49,000,000",2019,"Contact details for millions of Instagram influencers, celebrities and brand accounts was left exposed in an online database for at least six days.",misc,poor security,1
84,WiFi Finder,"2,000,000",2019,"An Android app for finding local WiFi passwords inadvertently provided access to the entire database, including domestic WiFi points.",app,poor security,1
85,Toyota,"3,100,000",2019,A security breach of Toyota subsidiaries' IT systems may have leaked personal customer information.,transport,hacked,2
86,Unknown,"1,800,000",2019,"A Dutch researcher found women's personal information in an open Chinese database. It included phone numbers, addressed and their ""BreedReady"" status, whatever that might be.",web,poor security,4
87,Vårdguiden,"2,700,000",2019,"170,000 hours of sensitive calls to Sweden's healthcare hotline were stored on an open web server with no encryption or authentication. The breach was blamed on subcontractor Medicall.",health ,poor security,5
88,Dubsmash,"162,000,000",2019,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web ,hacked,1
89,ShareThis,"41,000,000",2019,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1
90,HauteLook,"28,000,000",2019,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",retail,hacked,1
91,Animoto,"25,000,000",2019,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1
92,EyeEm,"22,000,000",2019,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1
93,8fit,"20,000,000",2019,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1
94,Whitepages,"18,000,000",2019,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1
95,Fotolog,"16,000,000",2019,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1
96,Armor Games,"11,000,000",2019,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",gaming,hacked,1
97,BookMate,"8,000,000",2019,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1
98,CoffeeMeetsBagel,"6,000,000",2019,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1
99,Artsy,"1,000,000",2019,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1
100,DataCamp,"700,000",2019,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1
101,Ixigo,"18,000,000",2019,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,transport,poor security,1
102,YouNow,"40,000,000",2019,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,web,hacked,1
103,Houzz,"57,000,000",2019,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,retail,hacked,2
104,Ge.tt,"1,800,000",2019,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,web,hacked,1
105,Coinmama,"450,000",2019,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,finance,hacked,1
106,Roll20,"4,000,000",2019,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,gaming,hacked,1
107,Stronghold Kingdoms,"5,000,000",2019,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,gaming,hacked,1
108,Petflow,"1,000,000",2019,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,retail,poor security,1
109,500px,"14,800,000",2019,"A July 2018 hack exposed the personal information of all 500px users, including names, usernames, email addresses, encrypted passwords, location, birth date, and gender.",web,hacked,2
110,Blur,"2,400,000",2019,"A server belonging to the password manager service contained a freely accessible file with users' email addresses, names and encrypted passwords.",tech,oops!,1
111,Blank Media Games,"7,600,000",2019,"A hacker stole usernames, email addresses and encrypted passwords belonging to players of the game ""Town of Salem"" from an insecure server.",gaming,hacked,1
112,Indian citizens,"275,265,298",2019,"The discovery of a huge, unprotected MongoDB database containing personal information of Indian citizens, including their education, resume and current salary.
",web,poor security,2
113,Bulgarian National Revenue Agency,"5,000,000",2019,"A hacker stole personal details of Bulgarian citizens from 110 government databases. 5m records, out of a total population of 7m.",government,hacked,2
114,Capital One,"100,000,000",2019,"The massive data breach included personal information from credit card applications over a 14-year period. A former Amazon employee, Paige Thompson, 36, was found guilty of wire fraud.",finance,hacked,3
115,Suprema,"27,800,000",2019,"A biometric security company stored unencrypted usernames and passwords, fingerprints and facial recognition information on a publicly accessible database.",tech,poor security,5
116,Facebook,"419,000,000",2019,"Several unprotected databases were found to contain the phone numbers of around 20% of all Facebook users, with (in some cases) names and locations.",web,poor security,2
117,DoorDash,"4,900,000",2019,"Users who joined the platform before April 2018 had their names, email addresses, order history, phone numbers and encrypted passwords stolen in a hack.",transport,hacked,2
118,BriansClub,"26,000,000",2019,"A site selling stolen payment card data was hacked and 26 million records were leaked. Banks were able to invalidate those cards, taking around 1/3 of the world's stolen cards out of circulation.",web,hacked,3
119,OxyData,"380,000,000",2019,"Information compiled by a data aggregation firm were found on an insecure server. It included complete scrapes of LinkedIn data, including recruiter information.",tech,poor security,2
120,Click2Gov,"300,000",2018,Vulnerabilities in government payment software allowed hackers to access financial records and personal data across 46 US cities.,finance,hacked,3
121,SingHealth,"1,500,000",2018,"Hackers stole personal details of 1.5 million patients, as well as the prescription details of 160,000 people, including prime minister Lee Hesien Loong.",health ,hacked,4
122,GovPayNow.com,"14,000,000",2018,"A company used by US government agencies to accept online payments exposed personal records via a standard web browser, including addresses, phone numbers and credit card digits.",finance,poor security,2
123,Cathay Pacific Airways,"94,000,000",2018,"Stolen data included names, nationalities, birth dates, phone numbers, addresses, passport & identity card numbers & expired credit card numbers.",transport,hacked,3
124,Chinese resume leak,"202,000,000",2018,"Information thought to have been scraped from Chinese jobseeking websites was found in an insecure database. It included resumes, phone numbers, height, weight, driving license & literacy level.",web,poor security,2
125,Google+,"52,500,000",2018,"A vulnerability exposed users' personal details to developers, even if their profiles were set to private. As a result, Google shut down the consumer version of the social network 4 months early.",web,poor security,2
126,Quora,"100,000,000",2018,"Login details and private messages were compromised by ""a malicious third party"".",web,hacked,1
127,Marriott International,"383,000,000",2018,"Hackers breached the reservation system of all Starwood hotels, including Sheraton, Westin and Le Meridien. Personal information, credit card details and passport info dating back to 2014 was stolen.",retail,hacked,3
128,NMBS,"700,000",2018,"Customer names, gender, birth dates, email and postal address data were left on a publicly searchable server belonging to the Belgian rail authority. Caused by a data worker “clicking on the wrong button”.",transport,oops!,2
129,Facebook,"50,000,000",2018,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,1
130,Panerabread,"37,000,000",2018,"Customer records, including loyalty card numbers, were available via the bakery chain's website for at least 8 months. The firm claims 10k records were leaked. Security researchers put the figure at over 37 million.",retail,poor security,2
131,Dixons Carphone,"10,000,000",2018,The firm admitted that hackers were able to access the details of 10m customers and 6m payment cards.,telecoms,hacked,1
132,MyHeritage,"92,283,889",2018,The genealogy site received a message from a researcher who had discovered over 92m email addresses and encrypted passwords on an external server.,web,hacked,1
133,Saks and Lord & Taylor,"5,000,000",2018,"A known ring of cybercriminals implanted software into store cash registers, siphoning off credit card details from readers.",retail,hacked,3
134,Careem,"14,000,000",2018,"The Dubai-based ride hailing service admitted that names, email addresses, phone numbers and trip data had been accessed in what it called a ""cyber incident"".",app,hacked,2
135,Texas voter records,"14,800,000",2018,"A single file containing 14.8 million voter records was found on an unsecured server. It was thought to have been originally compiled by Data Trust, a Republican-focused data analytics firm.",web,poor security,2
136,British Airways,"380,000",2018,The personal and financial details of customers who booked flights in a two-week period over the summer were compromised.,transport,hacked,4
137,T-Mobile,"2,000,000",2018,"Personal data along with passwords encrypted by a notoriously weak algorithm (MD5) were stolen. The firm initially failed to disclose the password breach, ""because they were encrypted"".",telecoms,hacked,1
138,MyFitnessPal,"150,000,000",2018,"A breach of usernames, email addresses, and hashed passwords belonging to users of the fitness app.",app,hacked,1
139,Helse Sør-Øst RHF,"3,000,000",2018,Patient records of more than half of Norway's population were stolen. The hack is thought to have happened via old computers running Windows XP.,health ,hacked,4
140,Nametests,"120,000,000",2018,"A security failure in a ""personality test"" app on Facebook left millions of people’s data publicly exposed for almost two years – even after they had deleted the app.",app,poor security,1
141,Ticketmaster,"40,000",2018,The data was stolen via an attack on a third-party customer support firm. It was likely to have affected UK customers who bought tickets between Feb and Jun 2018.,web,hacked,3
142,Firebase,"100,000,000",2018,"Misconfigured databases used by app developers were found to be exposing 113GB of personal data, accumulated by thousands of iOS and Android mobile apps.",app,poor security,5
143,Aadhaar,"550,000,000",2018,"India's biometric database was breached via a leak at a state-owned utility company. All registered Indian citizens were affected; their names, identity numbers and bank details were exposed. Data later found for sale on WhatsApp for less than £6.",government,poor security,4
144,Grindr,"3,000,000",2018,"A third-party tool that allows users to see who had blocked them was able to access non-public personal info, including locations of users who had opted out of location sharing.",app,poor security,3
145,Orbitz,"880,000",2018,"An legacy version of the travel website was hacked, exposing personal details and payment card info of people who'd made purchases in 2016 and 2017. Orbitz is now owned by Expedia.",web,hacked,3
146,MBM Company,"1,300,000",2018,"An insecure customer database belonging to the jewellery firm exposed postal addresses, email addresses, IP addresses and plain-text passwords. ",retail,poor security,4
147,LocalBlox,"48,000,000",2018,"A cloud storage repository was left publically accessible. Data included names, addresses, DOBs, and other information scraped from social media websites including Facebook.",web,poor security,2
148,Twitter,"330,000,000",2018,A glitch caused some passwords to be stored in readable text that was visible on Twitter's internal computer system.,tech,poor security,1
149,ViewFines,"934,000",2018,"Data originating with a South African traffic fine payment firm was leaked online. It included names, national ID numbers, cell numbers, email addresses and plain text passwords.",transport,oops!,4
150,TicketFly,"27,000,000",2018,"Names, addresses, email addresses and phone numbers were stolen from the ticketing firm. Ransom demands were made. The FBI indicted a suspect in February 2020.",web,hacked,2
151,Amazon,"5,000,000",2018,"A ""technical issue"" inadvertently caused customer names & email addresses to be posted to the Amazon website just prior to Black Friday.",retail,oops!,1
152,Urban Massage,"309,000",2018,"An online database with no password protection contained thousands of customer records, including names, email addresses, phone numbers and sexual misconduct complaints.",app,poor security,2
153,Dell ,"100,000",2018,"Dell detected and disrupted unauthorized attempts to extract customer names, email addresses & hashed passwords. The number of affected customers was not disclosed.",tech,hacked,1
154,High Tail Hall,"411,000",2018,"Hackers obtained email addresses, names, order histories, hashed passwords, physical and IP addresses for users of an ""erotic role-playing game"".",web,hacked,2
155,SKY Brasil,"32,000,000",2018,"Poorly configured servers exposed customer details – including payment methods – for long enough to make their theft ""likely"".",telecoms,poor security,1
156,Vision Direct,"16,300",2018,"A 5-day data breach saw attackers steal personal information, passwords and CVV security codes.",retail,hacked,4
157,Medicare & Medicaid,"93,689",2018," ""Sensitive"" information on applicants for US healthcare plans was hacked. It included names, birth dates, addresses, expected income & health insurance status.",health ,hacked,2
158,Facebook,"29,000,000",2018,"The biggest hack in Facebook's history to date. Names, birth dates, phone numbers, search history and location data was stolen by hackers masquerading as a digital marketing company. ",web,hacked,2
159,Newegg,"45,000,000",2018,Hackers injected 15 lines of card skimming code on the online retailer's payments page. It remained online for more than a month.,retail,hacked,3
160,Mount Olympus,"1,100",2016,An employee stole client information and loan files and took them with him when he went to work for a competitor. Mount Olympus later awarded $25m in damages.,finance,inside job,5
161,Apollo,"200,000,000",2018,"Data scraping company left a database exposed online, revealing 200 million contacts, 10 million companies and 9 billion ""data points"".",tech,poor security,1
162,Disqus,"17,500,000",2017,Hackers stole 17.5m email addresses in 2012. About a third of those records included passwords hashed using a weak algorithm.,web,hacked,4
163,RootsWeb,"300,000",2017,"Data on a ""leaky server"" belonging to Ancestry.com's community-driven site RootsWeb was exposed. Passwords, email addresses and usernames were leaked.",web,poor security,4
164,Yahoo,"32,000,000",2017,"For two years, hackers used forged cookies to log into millions of Yahoo accounts without a password. ",web,hacked,4
165,Uber,"57,000,000",2017,"Uber concealed an October 2016 leak of personal information for more than a year. They paid hackers $100,000 to delete the stolen data. The chief security officer resigned.",app,hacked,1
166,Wonga,"270,000",2017,"The firm reported unauthorised access to names, addresses, phone numbers and bank account details relating to British and Polish customers.",finance,hacked,4
167,Snapchat,"1,700,000",2017,Indian hackers leaked records after taking umbrage at comments made by Snapchat's CEO about their country.,app,hacked,1
168,Spambot,"520,000,000",2017,"A misconfigured spambot leaked email addresses and passwords. ""Almost one address for every single man, woman and child in all of Europe."" The set included some fake or repeated accounts.",web,poor security,4
169,CEX,"2,000,000",2017,The second-hand games seller fell victim to a security breach. An 'unauthorised third party' accessed systems holding personal information.,retail,oops!,3
170,Al.type,"31,000,000",2017,The developer of the customisable keyboard app failed to secure its database server. 577GB of user records were exposed.,app,poor security,4
171,Cellebrite,"3,000,000",2017,Cellebrite's main product is a device that rips data from mobile phones. 900GB of data was stolen from Cellebrite. The hackers got hacked. The number of records taken is unknown.,tech,hacked,2
172,Waterly,"1,000,000",2017,"An app which allows Israelis to pay water bills contained a vulnerability in the sign-in process. It could reveal payment history, personal ID information and credit card details.",app,poor security,3
173,Swedish Transport Agency,"3,000,000",2017,All Swedish driving license data was made available to Czech IT workers. The question of whether national security was harmed was censored in the official report.,government,poor security,5
174,Hong Kong Registration & Electoral Office,"3,700,000",2017,Two laptop computers were stolen at the backup venue for the election of the leader of Hong Kong. The names of electors and personal information of the city's voters was compromised.,government,lost device ,2
175,River City Media,"340,000,000",2017,"One of the world's largest spam operations accidentally leaked a backup of its database of over a billion email addresses, along with real names, IP and physical addresses.",web,oops!,2
176,DaFont,"700,000",2017,"The font site's database was targeted by a hacker who had seen it being traded elsewhere. The flaw was ""easy to find"". Usernames, email addresses and passwords were stolen.",web,hacked,4
177,Bell,"1,900,000",2017,Email addresses and information about customers and contractors was leaked after being stolen from an insecure database. The company was threatened with further leaks. ,telecoms,hacked,1
178,Zomato,"17,000,000",2017,Stolen email addresses and hashed passwords were being sold on the dark web for just over $1000.,web,hacked,4
179,Imgur,"1,700,000",2017,Stolen email addresses and hashed passwords were being sold on the dark web for just over $1000.,app,hacked,4
180,TIO Networks,"1,600,000",2017,"A Paypal subsidiary providing bill payment services suffered a ""security incident"". Personal information and financial details were likely to have been breached.",finance,hacked,4
181,Malaysian telcos & MVNOs,"46,200,000",2017,"Phone numbers, customer details, addresses and SIM card information from over a dozen Malaysian mobile providers was discovered online after being stolen in 2014.",telecoms,hacked,4
182,Malaysian medical practitioners,"81,309",2017,"Databases belonging to the Malaysian Medical Council, the Malaysian Medical Association and the Malaysian Dental Association were discovered online after being stolen in 2014.",health ,hacked,4
183,Instagram,"6,000,000",2017,"A bug in Instagram's API exposed users' contact details. The data was placed online in a searchable database, with a charge of $10 per search.",web,hacked,1
184,Viacom,"3,000,000",2017,"A misconfigured server exposed 1Gb of Viacom's credentials – enough, say researchers, to take down the firm's internal IT infrastructure.",web,hacked,4
185,Equifax,"143,000,000",2017,"A breach of the health insurance firm's database exposed the names, social security numbers, birth dates, addresses, driver's license numbers and credit card information of US, UK and Canadian citizens.",finance,hacked,4
186,SVR Tracking,"540,000",2017,Personal data and vehicle details were exposed. Customer passwords were stored using an easily-crackable algorithm.,app,poor security,4
187,LinkedIn,"117,000,000",2016,"A massive batch of login credentials was discovered on the black market after being stolen by hackers. The breach dated from 2012, when the firm's password security policies were weak.",web,hacked,1
